vertex,one,Q_one,Q2_one,Q3_one
1150,1,2,16,136
1151,1,2,16,136
1152,1,2,16,136
1153,1,2,16,136
1154,1,14,120,1024
1155,1,2,16,136
1156,1,2,16,136
1157,1,2,16,136
1158,1,2,16,136
1159,1,2,16,136
1160,1,2,16,136
1161,1,2,12,100
1162,1,2,12,100
1163,1,14,120,1024
1164,1,2,16,136
1165,1,2,16,136
1166,1,2,16,136
1167,1,2,16,136
1168,1,2,16,136
1169,1,2,16,136
1170,1,14,120,1024
1171,1,2,16,136
1172,1,2,16,136
1173,1,2,16,136
1174,1,2,16,136
1175,1,2,16,136
1176,1,2,16,136
1177,1,2,12,100
1178,1,2,12,100
1179,1,14,120,1024
1180,1,2,16,136
1181,1,2,16,136
1182,1,2,16,136
1183,1,2,16,136
1184,1,2,16,136
1185,1,2,16,136
1186,1,14,120,1024
1187,1,2,16,136
1188,1,2,16,136
1189,1,2,16,136
1190,1,2,16,136
1191,1,2,16,136
1192,1,2,16,136
1193,1,2,12,100
1194,1,2,12,100
1195,1,14,120,1024
1196,1,2,16,136
1197,1,2,16,136
1198,1,2,16,136
1199,1,2,16,136
1200,1,2,16,136
1201,1,2,16,136
1202,1,14,120,1024
1203,1,2,16,136
1204,1,2,16,136
1205,1,2,16,136
1206,1,2,16,136
1207,1,2,16,136
1208,1,2,16,136
1209,1,14,120,1024
1210,1,2,16,136
1211,1,2,16,136
1212,1,2,16,136
1213,1,2,16,136
1214,1,2,16,136
1215,1,2,16,136
1216,1,14,120,1024
1217,1,2,16,136
1218,1,2,16,136
1219,1,2,16,136
1220,1,2,16,136
1221,1,2,16,136
1222,1,2,16,136
1223,1,2,12,100
1224,1,2,12,100
1225,1,14,120,1024
1226,1,2,16,136
1227,1,2,16,136
1228,1,2,16,136
1229,1,2,16,136
1230,1,2,16,136
1231,1,2,16,136
1232,1,14,120,1024
1233,1,2,16,136
1234,1,2,16,136
1235,1,2,16,136
1236,1,2,16,136
1237,1,2,16,136
1238,1,2,16,136
1239,1,2,12,100
1240,1,2,12,100
1241,1,14,120,1024
1242,1,2,16,136
1243,1,2,16,136
1244,1,2,16,136
1245,1,2,16,136
1246,1,2,16,136
1247,1,2,16,136
1248,1,14,120,1024
1249,1,2,16,136
1250,1,2,16,136
1251,1,2,16,136
1252,1,2,16,136
1253,1,2,16,136
1254,1,2,16,136
1255,1,2,12,100
1256,1,2,12,100
1257,1,14,120,1024
1258,1,2,16,136
1259,1,2,16,136
1260,1,2,16,136
1261,1,2,16,136
1262,1,2,16,136
1263,1,2,16,136
1264,1,14,120,1024
1265,1,2,16,136
1266,1,2,16,136
1267,1,2,16,136
1268,1,2,16,136
1269,1,2,16,136
1270,1,2,16,136
1271,1,2,12,100
1272,1,2,12,100
1273,1,14,120,1024
1274,1,2,16,136
1275,1,2,16,136
1276,1,2,16,136
1277,1,2,16,136
1278,1,2,16,136
1279,1,2,16,136
1280,1,14,120,1024
1281,1,2,16,136
1282,1,2,16,136
1283,1,2,16,136
1284,1,2,16,136
1285,1,2,16,136
1286,1,2,16,136
1287,1,2,12,100
1288,1,2,12,100
1289,1,14,120,1024
1290,1,2,16,136
1291,1,2,16,136
1292,1,2,16,136
1293,1,2,16,136
1294,1,2,16,136
1295,1,2,16,136
1296,1,14,120,1024
1297,1,2,16,136
1298,1,2,16,136
1299,1,2,16,136
1300,1,2,16,136
1301,1,2,16,136
1302,1,2,16,136
1303,1,2,12,100
1304,1,2,12,100
1305,1,14,120,1024
1306,1,2,16,136
1307,1,2,16,136
1308,1,2,16,136
1309,1,2,16,136
1310,1,2,16,136
1311,1,2,16,136
1312,1,14,120,1024
1313,1,2,16,136
1314,1,2,16,136
1315,1,2,16,136
1316,1,2,16,136
1317,1,2,16,136
1318,1,2,16,136
1319,1,14,120,1024
1320,1,2,16,136
1321,1,2,16,136
1322,1,2,16,136
1323,1,2,16,136
1324,1,2,16,136
1325,1,2,16,136
1326,1,2,12,100
1327,1,2,12,100
1328,1,14,120,1024
1329,1,2,16,136
1330,1,2,16,136
1331,1,2,16,136
1332,1,2,16,136
1333,1,2,16,136
1334,1,2,16,136
1335,1,14,120,1024
1336,1,2,16,136
1337,1,2,16,136
1338,1,2,16,136
1339,1,2,16,136
